"","id","countryCode","establishmentMeans","occurrenceRemarks","location"
"237",25756,"BR","NATURALIZADA","Não endemica/Caatinga-Não endemica/Cerrado-Não endemica/Mata Atlântica","BR-SP-BR-RJ-BR-MG-BR-SC-BR-PR-BR-BA-BR-MT-BR-DF"
"238",36580,"BR","NATURALIZADA","Não endemica/Mata Atlântica-Não endemica/Pampa","BR-PR-BR-SC-BR-MG-BR-SP-BR-RS"
"239",36589,"BR","NATURALIZADA","Não endemica/Mata Atlântica","BR-SP-BR-RJ-BR-MG-BR-SC-BR-RS-BR-PR"
"240",17917,"BR","NATURALIZADA","Não endemica/Caatinga-Não endemica/Cerrado-Não endemica/Mata Atlântica","BR-RS-BR-SP-BR-RJ-BR-MG-BR-SC-BR-PR-BR-BA"
"241",121203,"BR","NATIVA",NA,"BR-RS"
"242",115930,"BR","NATURALIZADA","Não endemica/Caatinga-Não endemica/Cerrado-Não endemica/Mata Atlântica","BR-PR-BR-RS-BR-SP-BR-DF-BR-CE-BR-BA"
"243",21305,"BR","NATIVA","Endemica/Caatinga","BR-BA"
"244",86017,"BR","NATURALIZADA","Não endemica/Amazônia-Não endemica/Cerrado-Não endemica/Mata Atlântica-Não endemica/Pantanal","BR-SP-BR-RJ-BR-MG-BR-ES-BR-SC-BR-RS-BR-PR-BR-PE-BR-BA-BR-RR-BR-AM"
"245",116238,"BR","NATURALIZADA","Não endemica/Mata Atlântica","BR-SP"
"246",84797,"BR","NATURALIZADA","Não endemica/Amazônia","BR-AM"
"247",31802,"BR","NATIVA","Não endemica/Amazônia-Não endemica/Cerrado-Não endemica/Mata Atlântica","BR-RJ-BR-SP-BR-MG-BR-PR-BR-MA-BR-BA-BR-PA-BR-AM-BR-MT-BR-GO-BR-DF-BR-RR"
"248",121455,"BR",NA,"/Mata Atlântica","BR-PE"
